animal,agri,processing,packing,transport,distri,consumption,total
cow,4.619683612941176,0.31914299223529413,0.26046430011764704,0.21103552282352944,0.03599102782352941,0.006673697899999999,5.452991153841176
ewe,4.963658814285714,0.31280756571428575,0.2506161085714286,0.21100323,0.035969873,0.0066736979,5.780729289471429
goat,5.626974953846154,0.3046686742307692,0.25937895653846155,0.2112188353846154,0.036039033,0.006673697899999999,6.444954150899999
plant,0.4541885033333333,1.9838668000000002,0.234994,0.4280096566666667,0.035969955,0.0066736979,3.1437026129000003
