name_lci,animal,agri,processing,packing,transport,distri,consumption,total
goat cheese from raw milk,goat,5.5705779,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.3803779109
"gorgonzola cheese, from cow's milk",cow,4.4165999,0.26156557,0.18031662,0.21100323,0.035969873,0.0066736979,5.1121288909
"gouda cheese, from cow's milk",cow,4.9690485,0.41410527,0.26233269,0.21100323,0.035969873,0.0066736979,5.899133260900001
"grana padano cheese, from cow's milk",cow,5.1696923,0.39438597,0.26233269,0.21100323,0.035969873,0.0066736979,6.080057760900001
"gruyere cheese, france, protected geographical indication, from cow's milk",cow,5.2056698,0.39044211,0.26233269,0.21100323,0.035969873,0.0066736979,6.112091400900001
"gruyere cheese, from cow's milk",cow,5.288562,0.38334317,0.26233269,0.21100323,0.035969873,0.0066736979,6.1878846609
"hard cheese, emmental-type cheese, reduced fat",cow,5.2507248,0.38649825,0.26233269,0.21100323,0.035969873,0.0066736979,6.153202540900001
"langres cheese, from cow's milk",cow,4.1664842,0.2754263,0.26233269,0.21100323,0.035969873,0.0066736979,4.957889990900001
"livarot cheese, from cow's milk",cow,4.5147466,0.255753,0.26233269,0.21100323,0.035969873,0.0066736979,5.2864790909
"maroilles ""fermier"" cheese",cow,4.6547821,0.24770483,0.26233269,0.21100323,0.035969873,0.0066736979,5.418466420900001
"maroilles ""laitier"" cheese",cow,4.5414585,0.25441164,0.26233269,0.21100323,0.035969873,0.0066736979,5.3118496309
"maroilles cheese, from cow's milk",cow,4.6469667,0.24859907,0.26233269,0.21100323,0.035969873,0.0066736979,5.4115452609000005
"mimolette cheese, extra old, from cow's milk",cow,5.2884181,0.38255439,0.26233269,0.21100323,0.035969873,0.0066736979,6.186951980900001
"mimolette cheese, from cow's milk",cow,4.7576667,0.43461334,0.26233269,0.21100323,0.035969873,0.0066736979,5.7082595309
"mimolette cheese, half-old, from cow's milk",cow,5.1820907,0.39280843,0.26233269,0.21100323,0.035969873,0.0066736979,6.0908786209
"mimolette cheese, old, from cow's milk",cow,5.4045978,0.3738779,0.26233269,0.21100323,0.035969873,0.0066736979,6.294455190900001
"mimolette cheese, young, from cow's milk",cow,5.0769478,0.40464001,0.26233269,0.21100323,0.035969873,0.0066736979,5.9975673009
"morbier cheese, from cow's milk",cow,4.9506834,0.41647159,0.26233269,0.21100323,0.035969873,0.0066736979,5.8831344809
"mozzarella cheese, from cow's milk",cow,3.8001999,0.29688809,0.26233269,0.21100323,0.035969873,0.0066736979,4.613067480900001
"munster cheese, from cow's milk",cow,4.4938685,0.25709436,0.26233269,0.21100323,0.035969873,0.0066736979,5.2669423509
"neufchâtel cheese, from cow's milk",cow,4.0659021,0.28168599,0.26233269,0.21100323,0.035969873,0.0066736979,4.8635675809
"ossau-iraty cheese, from ewe's milk",ewe,4.4232346,0.31393438,0.26233269,0.21100323,0.035969873,0.0066736979,5.2531484709
"parmesan cheese, from cow's milk",cow,5.2111495,0.39044211,0.26233269,0.21100323,0.035969873,0.0066736979,6.117571100900001
"picodon cheese, from goat's milk",goat,6.0103604,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.8201604109
"plant-based cheese, without soybean, prepacked, shredded",plant,0.51585061,2.1095042,0.26233269,0.43348775,0.035969955,0.0066736979,3.3638189029000003
"plant-based cheese, without soybean, prepacked, sliced",plant,0.51585061,2.0966833,0.26233269,0.43348775,0.035969955,0.0066736979,3.3509980029
"plant-based spread-cheese type, with soybean, prepacked",plant,0.33086429,1.7454129,0.18031662,0.41705347,0.035969955,0.0066736979,2.7162909329
"pont l'evêque cheese, from cow's milk",cow,4.5631557,0.25351739,0.26233269,0.21100323,0.035969873,0.0066736979,5.3326525809000005
"pouligny saint-pierre cheese, from goat's milk",goat,5.643875,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.4536750109000005
"processed cheese snack w breadsticks, for children",cow,4.3271805,0.44835525,0.18553562,0.21374812,0.037768033,0.0066736979,5.219261220899999
processed cheese with fresh cream cheese and walnuts,goat,4.482213,0.45834439,0.18553562,0.21660405,0.037768033,0.0066736979,5.3871387909
"processed cheese, around 20% fat, in wedges or cubes",cow,4.3881168,0.26335405,0.26233269,0.21100323,0.035969873,0.0066736979,5.1674503409
"processed cheese, double cream, around 31% fat",cow,4.3881168,0.26335405,0.26233269,0.21100323,0.035969873,0.0066736979,5.1674503409
"processed cheese, in slices",cow,4.3881168,0.26335405,0.26233269,0.21100323,0.035969873,0.0066736979,5.1674503409
"provolone cheese, from cow's milk",cow,4.9064476,0.42120422,0.26233269,0.21100323,0.035969873,0.0066736979,5.8436313109
"pyrénées cheese, from ewe's milk",ewe,4.4232346,0.31393438,0.26233269,0.21100323,0.035969873,0.0066736979,5.2531484709
"pélardon cheese, from goat's milk",goat,6.596737,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,7.4065370109
"raclette cheese, from cow's milk",cow,4.9317869,0.4188379,0.26233269,0.21100323,0.035969873,0.0066736979,5.8666042909
"reblochon cheese, from cow's milk",cow,4.5258166,0.25530588,0.26233269,0.21100323,0.035969873,0.0066736979,5.2971019709
"rocamadour cheese, from goat's milk",goat,5.2040925,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.0138925109
"roquefort cheese, from ewe's milk",ewe,5.2393671,0.29382052,0.18031662,0.21100323,0.035969873,0.0066736979,5.9671510409
